Job Title,Company Name,Exp,Location,Skills,Functional Areas,rating,Vacancy,Employment Type,companyId
Multiplatform Front End Development Angular Business and Integration,Accenture Solutions Pvt Ltd,2-4 years,Bengaluru/Bangalore,",Javascript,Manager Quality Assurance,Coding,Consulting,Test cases,Front end,Business strategy,Software development life cycle,Integration Architect,Manager Technology",Software/Testing/Networking,4,,"Full Time, Permanent",31
Team Lead/Consultant-Capability Development,Accenture Solutions Pvt Ltd,7-11 years,Bengaluru/Bangalore,",Consulting,Excel,Training,Instructor,Individual Contributor,management",,4,,,32
Analyst-Capability Development,Accenture Solutions Pvt Ltd,3-5 years,Gurgaon/Gurugram,",Consulting,Business administration,Training,Instructor,Individual Contributor,Interpersonal skills",,4,,,33
SFCC Front Development,Marks and Spencer Reliance India Pvt. Ltd.   ,5-10 years,Gurgaon/Gurugram,",Front end developer,SFCC,Salesforce,developer,jQuery,Node.Js",Software/Testing/Networking,4.5,,"Full Time, Permanent",34
SFCC Backend Development,Marks and Spencer Reliance India Pvt. Ltd.   ,6-11 years,Gurgaon/Gurugram,",Backend development,SFCC,Salesforce,Demandware",,4.5,,,35
Hiring For Big data Spark Developer,J.P. Morgan Services India Private Limited ,5-8 years,Hyderabad/Secunderabad,",Spark,Hadoop,Big Data",,4.5,,,36
Immediate openings For RPA developer_Hyderabad,CBRE South Asia Pvt Ltd  ,4-8 years,Hyderabad/Secunderabad,",RPA developer,ui path,VB SCRIPT,c#,Blue Prism",Other,4.2,,"Full Time, Permanent",37
Immediate openings For React js developer,CBRE South Asia Pvt Ltd  ,4-9 years,Hyderabad/Secunderabad,",Javascript,CSS,HTML,Redux,Bootstrap,Jsx",,4.2,,,38
STIBO STEP Developer,Schneider Electric India Pvt. Ltd.,3-6 years,Gurgaon/Gurugram,",Unix,Javascript,Web services,Automation,SDLC,Data modeling",,4.2,,,39
Sitecore Developer in Hyderabad,CBRE South Asia Pvt Ltd  ,2-5 years,Hyderabad/Secunderabad,",Sitecore,SXA,CSS,.Net,C#,MVC",Other,4.2,,"Full Time, Permanent",40
Mid Level Cloud Native Developer,IBM India Pvt. Limited,5-10 years,Ahmedabad,",Risk management,MySQL,Cloud,test driven development,Staffing,Risk mitigation,Management,Agile development,Client interfacing,Architecture",Other,4.1,,"Full Time, Permanent",41
RPA Developer,IBM India Pvt. Limited,2-6 years,Chennai,",Solution design,SQL,Manager Quality Assurance,Business operations,Business process,Monitoring",,4.1,,,42
RPA Developer (L2 Support),IBM India Pvt. Limited,5-8 years,Bengaluru/Bangalore,",Windows,Javascript,MS SQL,Automation,Analytical,VPN",,4.1,,,43
Hardware Developer,IBM India Pvt. Limited,3-5 years,Bengaluru/Bangalore,",Verilog,Debugging,VHDL,PCIE,UVM,Hardware design",,4.1,,,44
Systems and Virtualization Management Development For Power Systems,IBM India Pvt. Limited,2-5 years,Bengaluru/Bangalore,",J2Ee,Core Java,JSP,Virtualization,Software design,Design development",,4.1,,,45
Cloud Developer,IBM India Pvt. Limited,3-6 years,Bengaluru/Bangalore,",Linux,Python,Networking,Agile,Virtualization,Cloud",,4.1,,,46
Cloud Developer,IBM India Pvt. Limited,6-10 years,Bengaluru/Bangalore,",Linux,Python,Networking,Agile,Virtualization,Cloud",,4.1,,,47
Package Consultant: Workday Tool Development,IBM India Pvt. Limited,3-7 years,Bengaluru/Bangalore,",Budgeting,Balance Sheet,Product management,Application development,Agile,metadata",,4.1,,,48
C++ Developer/Lead/Architect,Nokia Solutions and Networks India (P)Ltd.,1-6 years,Bengaluru/Bangalore,",C++,Linux,Python",,4.3,,,49
Software Tools Developer/Systems Integration,Dell International Services IndiaPrivate Limited,6-11 years,Bengaluru/Bangalore,",Process automation,SQL Server design,SQL Server management,Rest API technology,RPA,UIpath",Other,4.1,,"Full Time, Permanent",50
Urgent hiring For Native HANA Developer,Teamlease Servcies limited ,5-10 years,"Bengaluru/Bangalore, Hyderabad/Secunderabad",",Hana,native hana",Other,4,,"Full Time, Temporary/Contractual",51
SAP BusinessObjects Web Intelligence Report Development Application,Accenture Solutions Pvt Ltd,6-8 years,Bengaluru/Bangalore,",SQL,SAP,Data structures,Consulting,Business process,Web intelligence",Other,4,,"Full Time, Permanent",52
S&PP Developer,Accenture Solutions Pvt Ltd,1-6 years,Bengaluru/Bangalore,",Application Development,Platform Development,Power Bi,Technology Solutions,Production Support,Automation Testing",,4,,,53
Team Lead/Consultant-Learning Content Design & Development,Accenture Solutions Pvt Ltd,7-11 years,Bengaluru/Bangalore,",Content Development,Training,Instructional Design,E-learning,Content Designing,Learning",Software/Testing/Networking,4,,"Full Time, Permanent",54
IOT Cloud Developer -KONE India PUNE,KONE Elevator India Pvt. Ltd  ,5-10 years,Pune,,,4.2,,,55
Java fullstack _Developer @ JP Morgan chase Bangalore,J.P. Morgan Services India Private Limited ,7-12 years,Bengaluru/Bangalore,",Software Development,Java,Oracle,Software Engineering,Unix Shell Scripting,Rest Api",Other,4.1,,"Full Time, Permanent",56
Team Lead/Consultant-Learning Content Design & Development,Accenture Solutions Pvt Ltd,7-11 years,Bengaluru/Bangalore,",Consulting,E-learning,Content management,Issue resolution,Simulation,content designing",Content,4,,"Full Time, Permanent",57
Team Lead/Consultant-Capability Development,Accenture Solutions Pvt Ltd,7-11 years,Noida,",Consulting,Order management,O2C,Training,Individual Contributor,management",,4,,,58
Algorithm Developer-RADAR,Aptiv Technical Centre,4-7 years,Bengaluru/Bangalore,",Automotive,Analytical,Robotics,Computer science,Algorithm development,Wellness",,4,,,59
Package Consultant: Workday Tool Development,IBM India Pvt. Limited,3-7 years,Bengaluru/Bangalore,",Budgeting,Balance Sheet,Product management,Application development,Agile,metadata",Other,4.1,,"Full Time, Permanent",60
EDA Tool Developer,IBM India Pvt. Limited,5-10 years,Bengaluru/Bangalore,",Automation,Perl,Front end,Data structures,Debugging,Python,Machine learning,Operating systems,Interpersonal skills",Other,4.1,,"Full Time, Permanent",61
Cloud Developer,IBM India Pvt. Limited,2-5 years,Bengaluru/Bangalore,",Cloud,Automation,Interpersonal skills,Testing,Analytical skills,Troubleshooting",,4.1,,,62
Cloud Developer,IBM India Pvt. Limited,3-6 years,Bengaluru/Bangalore,",Linux,Python,Networking,Agile,Virtualization,Cloud",Other,4.1,,"Full Time, Permanent",63
Cloud Developer,IBM India Pvt. Limited,6-10 years,Bengaluru/Bangalore,",Linux,Python,Networking,Agile,Virtualization,Cloud",,4.1,,,64
Java+React.Js Developer,Infosys Limited ,2-7 years,"Chennai, Pune, Delhi NCR
							
								+ 3 more",,,3.9,,,65
"SR. ASSOCIATE, Database / Data Warehouse Development",AT and T Global Business Services India P. Ltd.,2-6 years,Bengaluru/Bangalore,,,3.9,,,66
Java+React.Js Developer,Infosys Limited ,2-7 years,"Chennai, Pune, Delhi NCR
							
								+ 3 more",,Other,4.5,,"Full Time, Permanent",67
SAP-PI Developer,Luxoft,4-8 years,Chennai,",XML,ABAP,JDBC,JMS,XSLT,HTTP",,4.5,,,68
Tcs Hiring For Azure Developer,Tata Consultancy Services Ltd. ,3-8 years,"Bengaluru/Bangalore, Kolkata",",Azure Databricks,BI Projects,azure,Azure Data Lake",,4.5,,,69
Tcs Hiring For Azure Developer,Tata Consultancy Services Ltd. ,3-8 years,"Bengaluru/Bangalore, Kolkata",",Azure Databricks,BI Projects,azure,Azure Data Lake",Analytics & Business Intelligence,4.5,,"Full Time, Permanent",70
Tcs hiring For API development,Tata Consultancy Services Ltd. ,5-8 years,"Delhi NCR, Bengaluru/Bangalore, Mumbai",",Spring Boot,Rest Api,GIT,NoSQL,Agile,Cloud,Identity Management,Computer Science,Management Skills,Communication Skills,SQL",Other,3.9,,"Full Time, Permanent",71
Advance your career To next level with TCS_ Spark/ Pyspark developer,Tata Consultancy Services Ltd. ,3-8 years,"Chennai, Bengaluru/Bangalore, Hyderabad/Secunderabad",",SCALA,Spark,Pyspark",,3.9,,,72
Advance your career To next level with TCS_ Spark/ Pyspark developer,Tata Consultancy Services Ltd. ,3-8 years,"Chennai, Bengaluru/Bangalore, Hyderabad/Secunderabad",",SCALA,Spark,Pyspark",Other,3.9,,"Full Time, Permanent",73
Wipro - Appian Developer - SQL/WebAPI (5-12 yrs),Wipro,5-12 years,TCS,",Appian,BPM,SQL,Jenkins,SAIL,WebAPI",,3.9,,,74
RPA Developer,Schneider Electric India Pvt. Ltd.,2-3 years,Bengaluru/Bangalore,",Project management,Stakeholder management,Agile,Technical training,Solution design,VBA",,3.9,,,75
Tcs Hiring! RPA Developer - Blue Prism,Tata Consultancy Services Ltd. ,3-8 years,"Chennai, Pune, Delhi NCR
							
								+ 4 more",",Blue Prism,Rpa,Design Documents,Technical Skills",Other,3.9,,"Full Time, Permanent",76
Tcs Hiring!! Automation Anywhere Developer,Tata Consultancy Services Ltd. ,5-10 years,"Chennai, Pune, Delhi NCR
							
								+ 4 more",",C#,Automation Anywhere,VB SCRIPT,Aa,.Net,SQL",,3.9,,,77
Tcs Hiring!! Automation Anywhere Developer,Tata Consultancy Services Ltd. ,5-10 years,"Chennai, Pune, Delhi NCR
							
								+ 4 more",",C#,Automation Anywhere,VB SCRIPT,Aa,.Net,SQL",Other,3.9,,"Full Time, Permanent",78
Tcs Hiring For Qlicksense Developer,Tata Consultancy Services Ltd. ,3-8 years,"Bengaluru/Bangalore, Hyderabad/Secunderabad, Mumbai",",SQL Server,Azure Databricks,Tabular Model",,3.9,,,79
Urgent openings For Golang Developer with Wipro technologies,Wipro Limited  ,3-7 years,"Bengaluru/Bangalore, Hyderabad/Secunderabad",",SQL,Microservices,Shell Scripting,Mac,Linux,Go",Other,3.8,,"Full Time, Permanent",80
Node JS Developer,Tata Consultancy Services Ltd. ,4-8 years,Pan India,",Javascript,Devops,MongoDB,CI,Rest,AWS,Jenkins,Cloud,Confluence,JIRA,Node.Js",Other,3.9,,"Full Time, Permanent",81
Mendix Developer,Infosys Limited,2-7 years,Chennai,",Consulting,Primary Skills,Effort Estimation,Vendor Evaluation,Problem Solving,Mendix",Other,3.9,,"Full Time, Permanent",82
Appian Developer,Infosys Limited,2-7 years,Bengaluru/Bangalore,",Business Process Management,Primary Skills,Digital Transformation,Technology Solutions,Effort Estimation,Vendor Evaluation",,3.9,,,83
SharePoint/O365 Developer,Infosys Limited,2-7 years,Bengaluru/Bangalore,",Design Principles,Digital Transformation,Primary Skills,Software Engineering,Technical Analysis,Test Cases",,3.9,,,84
Credit Risk Model Development/Validation,Tata Consultancy Services Ltd. ,4-9 years,"Pune, Bengaluru/Bangalore, Mumbai",",Credit Risk,Statistical Modeling,Model Validation,Scorecard,SAS,Risk Modeler",Other,3.9,,"Full Time, Permanent",85
Tcs Hiring For Axiom Developer,Tata Consultancy Services Ltd. ,3-8 years,"Pune, Bengaluru/Bangalore, Mumbai",",axiom,axiom controller view,Sql",,3.9,,,86
Tcs is hiring For Node js developer,Tata Consultancy Services Ltd. ,6-8 years,Pan India,",Javascript,Devops,MongoDB,CI,Rest,AWS",,3.9,,,87
T-SQL/ SQL/SSIS  Developer,GENPACT India Private Limited ,3-4 years,Bengaluru/Bangalore,",Stored Procedures,T-SQL,SSIS,SQL Server,SSRS,Cursor",Software/Testing/Networking,4,,"Full Time, Permanent",88
"I& E Developer (Java, Python& Angular)",Nokia Solutions and Networks India (P)Ltd.,4-7 years,Gurgaon/Gurugram,",Backend,Analytics,SQL,HTML,XML,Windows",Software/Testing/Networking,4.3,1 vacancy,"Full Time, Permanent",89
Vue JS Developer,Infosys Limited,5-10 years,Pune,",Project Life Cycle,Software Quality Assurance,Agile,Test Planning,Design Principles,Unit Testing",Other,3.9,,"Full Time, Permanent",90
Data & Analytics Developers,Infosys Limited,3-8 years,Bengaluru/Bangalore,",Python,Data Science,SQL,Artificial Intelligence,Big Data,Statistics,Data Analytics,Cloud,Design Principles,Java,PL/SQL",Other,3.9,,"Full Time, Permanent",91
HCL looking For Angular.Js Developer - Mumbai,HCL Technologies Ltd ,5-10 years,Mumbai,",Javascript,CSS,HTML,Front End,Angularjs,Angular",Software/Testing/Networking,3.8,,"Full Time, Permanent",92
Developer,Delhivery,1-3 years,Bengaluru/Bangalore,,,4.2,,,93
"HCL is hiring ""React.js Developer"" @ Noida",HCL Technologies Ltd ,9-13 years,Noida,",Express,Javascript,Node.Js,Web Technologies,Web Application,Azure",Other,3.8,,"Full Time, Permanent",94
AWS Developer,Infosys Limited ,3-6 years,Hyderabad/Secunderabad,",Design Development,Digital Transformation,AWS,SDLC,agile,performance engineering",Other,3.9,,"Full Time, Permanent",95
Immed req For RPA(Uipath) Developer,HCL Technologies Limited   ,1-6 years,"Chennai, Pune, Bengaluru/Bangalore
							
								+ 2 more",",Uipath,RPA",,3.8,,,96
Job opening For Machine Learning developer with Wipro,Wipro Limited  ,11-15 years,"Chennai, Pune, Bengaluru/Bangalore",",Machine Learning,Computer Vision,Pattern Recognition,Image Processing,ML topologies",Other,3.8,,"Full Time, Permanent",97
Job opening For Machine Learning developer with Wipro,Wipro Limited  ,6-10 years,"Pune, Bengaluru/Bangalore, Hyderabad/Secunderabad",",Machine Learning,Computer Vision,Pattern Recognition,Image Processing,ML topologies",,3.8,,,98
Job opening For Machine Learning developer with Wipro,Wipro Limited  ,3-5 years,"Chennai, Pune, Bengaluru/Bangalore",",Machine Learning,Computer Vision,Pattern Recognition,Image Processing,ML topologies",,3.8,,,99
JAVA Scala Developer 5- 8 years Noida/hyderabad/Bangalore,HCL Technologies Limited   ,5-8 years,"Pune, Bengaluru/Bangalore, Hyderabad/Secunderabad",",SCALA,Java,Kafka",Software/Testing/Networking,3.8,,"Full Time, Permanent",100
React Developer with Node.JS and UI Testing,HCL Technologies Limited   ,4-9 years,"Chennai, Bengaluru/Bangalore, Hyderabad/Secunderabad
							
								+ 2 more",",Javascript,Node.Js,Graphql,Jest,UI Testing,React.Js,react,Js,Typescript,Query,React Native",Other,3.8,,"Full Time, Permanent",101
"Thomson Reuters - Digital Learning Experience Developer, Hyderabad",Thomson Reuters,3-8 years,Hyderabad/Secunderabad,",Instructional Design,instructional designer,Learning experience developer,instructional designing",Content,4.3,,"Full Time, Permanent",102
Hiring Mulesoft Sr. Developer/Lead/Architect | HCL Technologies Nagpur,HCL Technologies Limited Nagpur,5-10 years,Nagpur,",Web Services,SOAP UI,Rest,XML,Mule Esb,ODBC",Other,3.8,,"Full Time, Permanent",103
Power Cloud Development Software Support,IBM India Pvt. Limited,6-8 years,Bengaluru/Bangalore,",Technical support,Unix,Javascript,Aix,Virtualization,Redhat",Other,4.1,,"Full Time, Permanent",104
App Developer: Red Hat Commercial DB Modernization,IBM India Pvt. Limited,7-8 years,Bengaluru/Bangalore,",Oracle,Middleware,MySQL,Cloud,Open source,Database",,4.1,,,105
Java Cloud Developer : Oracle Bangalore/Hyderabad,Oracle India Pvt. Ltd.   ,5-10 years,"Bengaluru/Bangalore, Hyderabad/Secunderabad",",Java,JUnit,Spring,Maven,Restful Webservices,Web Services",Software/Testing/Networking,3.8,,"Full Time, Permanent",106
Python Cloud Developer: Oracle Bangalore,Oracle India Pvt. Ltd.   ,4-9 years,Bengaluru/Bangalore,",Software Development,MVC Framework,Object Oriented Programming,NoSQL,Algorithms,Web Technologies",,3.8,,,107
react/node JS developer,Hcl Technologies Limited  ,4-8 years,Bengaluru/Bangalore,",React.Js,Node.Js",Other,3.8,,"Full Time, Permanent",108
JBPM / Camunda Developer,Infosys Limited ,3-6 years,Bengaluru/Bangalore,",Consulting,Digital Transformation,Solution Design,Technology Solutions,Problem Solving,JBPM",Other,3.9,,"Full Time, Permanent",109
Manhattan WMS Developer,Infosys Limited ,2-6 years,Bengaluru/Bangalore,",Consulting,Digital Transformation,Effort Estimation,Vendor Evaluation,WMS",,3.9,,,110
Talend Developer,Capgemini Technology Services India Limited,9-12 years,Pune,",Oracle,Scheduling,Data modeling,MS SQL,MySQL,Oracle SQL,PLSQL,Programming",Other,3.7,,"Full Time, Permanent",111
SparkR Developer,Capgemini Technology Services India Limited,4-9 years,Bengaluru/Bangalore,",Oracle,SQL,Db2,Apache,big data,spark",,3.7,,,112
Informatica Power Center Developer,Capgemini Technology Services India Limited,4-9 years,Pune,",SQL,Unix,Informatica,Teradata,Unix shell scripting,Data warehousing",,3.7,,,113
Okta Developer,Capgemini Technology Services India Limited,6-9 years,Bengaluru/Bangalore,",LDAP,Active directory,Mobile applications,Web technologies,Management,SAML",,3.7,,,114
Virtual weekend drive For Vue Js Developers 3-8 years Gurgaon,HCL Technologies Limited   ,3-8 years,Gurgaon/Gurugram,",Vue,Javascript,HTML",Other,3.8,,"Full Time, Permanent",115
Pyspark Developer,Capgemini Technology Services India Limited,4-9 years,Hyderabad/Secunderabad,",Python,Open source,Agile,Scrum,Data modeling,Hadoop",Other,3.7,,"Full Time, Permanent",116
Snowflake Developer,Capgemini Technology Services India Limited,4-9 years,Hyderabad/Secunderabad,",Cloud,Data warehousing,Deployment",,3.7,,,117
Tcs-Hiring-PySpark Developer-3 To 9 yrs,Tata Consultancy Services Ltd. ,3-8 years,"Pune, Hyderabad/Secunderabad",",Pyspark,SQL,Spark,Python,Big Data,Subversion",Other,3.9,,"Full Time, Permanent",118
Scala Developer,Capgemini Technology Services India Limited,3-8 years,Inter,",Spark,Java,Python,NoSQL,Big Data,SQL",Other,3.7,,"Full Time, Permanent",119
ASP.NET & Angular Developers - Bangalore/Noida - 6 Positions,Wipro Limited  ,5-10 years,"Chennai, Bengaluru/Bangalore, Noida",",Web Api,Angular,Front End,ASP.Net,C#,SQL Server",Software/Testing/Networking,3.8,,"Full Time, Permanent",120
Java Micro Service Developer,Wipro Limited  ,6-10 years,"Chennai, Pune, Bengaluru/Bangalore
							
								+ 1 more",",Hibernate,Java,Spring Boot,Spring Mvc,Microservices,Spring Framework,JSF,Activiti,JBPM,Web Services,SOA,Spark,Bpm",Other,3.8,,"Full Time, Permanent",121
Senior React Developers ( Full Stack ),BEO Software Private Limited   ,3-8 years,Ernakulam,",React.Js,Typescript,Angularjs",Other,4.9,1 vacancy,"Full Time, Permanent",122
RPA Developer,Optum Global Solutions (India) Private Limited   ,3-8 years,"Gurgaon/Gurugram, Noida",,,4.1,,,123
Tcs Hiring! ServiceNow (SNow) Developer!,Tata Consultancy Services Ltd. ,6-11 years,"Chennai, Hyderabad/Secunderabad",",Javascript,DOM,Ajax,HTML,Rest,SOAP",Other,3.9,,"Full Time, Permanent",124
Tcs hiring Power Platform Developer For PAN India location,Tata Consultancy Services Ltd. ,1-6 years,Pan India,",power apps,power automate,power virtual,power platform",,3.9,,,125
Hardware Developer,IBM India Pvt. Limited,1-3 years,Bengaluru/Bangalore,",Automation,Firmware,Analog,Circuit designing,Physical design,Perl",Software/Testing/Networking,4.1,,"Full Time, Permanent",126
"ORMB , CCB, OUAF framework Developer",Oracle India Pvt. Ltd.   ,3-8 years,"Pune, Bengaluru/Bangalore, Noida",",Core Java,Advanced Java,Hibernate,Multithreading,JUnit,MVC Architecture",Other,3.8,,"Full Time, Permanent",127
IVR Development Voice Bot - Concentrix ( PAN India),Concentrix Daksh Services India Private Limited.   ,2-7 years,"Chennai, Pune, Delhi NCR
							
								+ 5 more",",Hibernate,Spring Boot,Core Java,JPA,Restful Webservices,Web Services",,4.1,,,128
Murex Datamart Developer,Capgemini Technology Services India Limited,6-9 years,Bengaluru/Bangalore,",SQL,Unix,Perl,PLSQL,SyBase,Murex",Other,3.7,,"Full Time, Permanent",129
Tcs hiring For Pyspark Developer - Big Data,Tata Consultancy Services Ltd. ,4-9 years,"Pune, Delhi NCR, Bengaluru/Bangalore",",Pyspark,Spark,Big Data,Java",Analytics & Business Intelligence,3.9,,"Full Time, Permanent",130
Scala Developer,Capgemini Technology Services India Limited,4-9 years,Pune,",Unix,SQL,Linux,SCALA,Hadoop,data domain,big data,Debugging,Analytical,Data warehousing",Other,3.7,,"Full Time, Permanent",131
Kafka Developer,Capgemini Technology Services India Limited,4-9 years,Hyderabad/Secunderabad,",JMS,Linux,Python,Automation,Software development life cycle,spark",,3.7,,,132
CPQ Developer,Wipro Limited  ,4-9 years,"Bengaluru/Bangalore, Hyderabad/Secunderabad",",Javascript,HTML,SFDC,Rest,SOAP,Java",Software/Testing/Networking,3.8,,"Full Time, Permanent",133
Immediate opportunity For Databricks/Pyspark  Developer at Bangalore,Wipro Limited  ,5-10 years,Bengaluru/Bangalore,",Azure Databricks,Pyspark,Delta Lake",,3.8,,,134
Senior C# Developer,BEO Software Private Limited   ,3-8 years,"Ernakulam, Cochin/Ernakulam/Kochi",",c#,.Net",Other,4.9,,"Full Time, Permanent",135
Senior C# Developer (WinForms),BEO Software Private Limited   ,3-8 years,"Ernakulam, Cochin/Ernakulam/Kochi",",C#,.Net,Windows Forms,ERP,Polymorphism,Encapsulation",,4.9,,,136
TCS_ Hiring_ Salesforce CPQ Developer_ PAN India(7-10 Yrs),Tata Consultancy Services Ltd. ,7-10 years,"Chennai, Pune, Delhi NCR
							
								+ 5 more",",Salesforce Cpq,Spring CM,CPQ API",,3.9,,,137
Salesforce Service Cloud Developer,6Sense,1-4 years,Pune,,,5,,,138
Genpact Hiring For Azure developers - PAN India,GENPACT India Private Limited ,4-9 years,"Chennai, Pune, Delhi NCR
							
								+ 3 more",",Azure Databricks,Azure Data Factory,SQL Azure,Python,Pyspark",,4,,,139
Reactjs Developer,Hcl Technologies Limited  ,6-8 years,Pune,",Javascript,CSS,Redux,HTML,React.Js",Other,3.8,,"Full Time, Permanent",140
Tcs Hiring For React JS Developer For PAN India Location,Tata Consultancy Services Ltd. ,1-6 years,Pan India,",Javascript,React.Js,HTML,CSS,Redux,Es6",Other,3.9,,"Full Time, Permanent",141
HCL Hiring - AUTOSAR Developers !!!,HCL Technologies Limited   ,4-8 years,"Chennai, Bengaluru/Bangalore",",Canoe,Embedded C,Canalyzer,TRACE32,AUTOSAR,LIN",Other,3.8,,"Full Time, Permanent",142
